canonical_key,category,control,conflict_notes,raw_variants,area-stacked,area-stacked-sm,bar-chart,bar-chart-clustered,bar-chart-clustered-sm,bar-chart-grouped,bar-chart-grouped-clustered,bar-chart-sm,bar-chart-stacked,bar-chart-stacked-grouped,bar-chart-stacked-sm,bar-chart-with-dropdown,beeswarm,chart-menu,column-chart,column-chart-ci-bands,column-chart-stacked-optional-line,column-chart-stacked-optional-line-sm,doughnut,heatmap,line-chart,line-chart-dropdown-options,line-chart-sm-focus,line-chart-sm-multiseries,line-chart-with-ci-area,line-chart-with-ci-area-sm,population-pyramid,range-arrow-dot-bar-reference,range-arrow-dot-bar-reference-sm,range-ci-area-grouped,scatter-bubble-plot,slope-chart,waterfall,z-annotation-bar-example,z-annotation-column-example,z-annotation-load-from-file,z-annotation-toolbar
meta.chartType,meta,Explicit chart variant switch,Only range-arrow-dot-bar-reference exposes this in config; most chart type is implied by folder/template name.,chartType,,,,,,,,,,,,,,,,,,,,,,,,,,,,chartType,chartType,,,,,,,,
legacy.chartBuild,legacy,Legacy build scaffold,"Present in z-annotation and optional-line configs, but current scripts do not read it.",chartBuild | chart_build,,,,,,,,,,,,,,,,,chartBuild,chartBuild,,,,,,,,,,,chartBuild,,,,,chart_build,chart_build,,chart_build
legacy.misc,legacy,Miscellaneous leftover config,Includes stray keys like someOtherVariable in bar-chart-stacked.,someOtherVariable,,,,,,,,,someOtherVariable,,,,,,,,,,,,,,,,,,,,,,,,,,,,
data.url,data,Primary data file URL/path,"Naming differs: graphicDataURL, graphicDataUrl, graphic_data_url, essential.graphic_data_url.",essential.graphic_data_url | graphicDataURL | graphicDataUrl | graphic_data_url,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,,graphicDataURL,graphicDataURL,graphicDataUrl,graphicDataUrl,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,,graphicDataUrl,graphicDataUrl,graphicDataURL,graphicDataURL,graphicDataURL,graphicDataURL,graphic_data_url,essential.graphic_data_url,graphicDataURL,graphic_data_url
data.pyramidSource,data,Population pyramid primary dataset source(s),"Population-pyramid only; supports string, array, or tidy-data file.",pyramidData,,,,,,,,,,,,,,,,,,,,,,,,,,,pyramidData,,,,,,,,,,
data.pyramidType,data,Population pyramid data type metadata,Population-pyramid only; overlaps with displayType and counts/percentages logic.,pyramidDataType,,,,,,,,,,,,,,,,,,,,,,,,,,,pyramidDataType,,,,,,,,,,
data.pyramidStructure,data,Population pyramid structure metadata,Population-pyramid only; simple vs complex dataset handling.,pyramidDataStructure,,,,,,,,,,,,,,,,,,,,,,,,,,,pyramidDataStructure,,,,,,,,,,
data.comparisonSource,data,Population pyramid comparison dataset source(s),Population-pyramid only; optional secondary source.,comparisonData,,,,,,,,,,,,,,,,,,,,,,,,,,,comparisonData,,,,,,,,,,
data.comparisonType,data,Population pyramid comparison type metadata,Population-pyramid only.,comparisonDataType,,,,,,,,,,,,,,,,,,,,,,,,,,,comparisonDataType,,,,,,,,,,
data.comparisonStructure,data,Population pyramid comparison structure metadata,Population-pyramid only.,comparisonDataStructure,,,,,,,,,,,,,,,,,,,,,,,,,,,comparisonDataStructure,,,,,,,,,,
data.displayType,data,Displayed measure mode,Population-pyramid only; counts vs percentages chosen at render time.,displayType,,,,,,,,,,,,,,,,,,,,,,,,,,,displayType,,,,,,,,,,
data.dateFormat,data,Input date parsing format,Only meaningful on temporal charts.,dateFormat | essential.dateFormat,dateFormat,dateFormat,,,,,,,,,dateFormat,,,,dateFormat,dateFormat,dateFormat,dateFormat,,,dateFormat,dateFormat,dateFormat,dateFormat,dateFormat,dateFormat,,,,,,dateFormat,,,essential.dateFormat,,
accessibility.summary,accessibility,Screen-reader summary text,Consistent purpose; name only varies in legacy essential block.,accessibleSummary | essential.accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,accessibleSummary,essential.accessibleSummary,accessibleSummary,accessibleSummary
