name,group,series,value,min,max
Female,Sex,Straight or Heterosexual,14.29,13.59,14.98
Female,Sex,LGB+,50.15,44.21,56.08
Female,Sex,Gay or Lesbian,36.96,29.27,46.04
Female,Sex,Bisexual,63.18,52.58,73.78
Female,Sex,Other sexual orientation,46.04,30.88,65.56
Male,Sex,Straight or Heterosexual,28.2,27.09,29.3
Male,Sex,LGB+,67.13,59.95,74.31
Male,Sex,Gay or Lesbian,67.66,58.43,76.88
Male,Sex,Bisexual,71.48,57.32,88.04
Male,Sex,Other sexual orientation,55.65,35.67,82.62
16 to 24 years,Age on Census Day,Straight or Heterosexual,12.33,10.96,13.7
16 to 24 years,Age on Census Day,LGB+,28.72,22.84,35.67
25 to 34 years,Age on Census Day,Straight or Heterosexual,17.15,15.97,18.33
25 to 34 years,Age on Census Day,LGB+,48.4,41.01,55.8
35 to 44 years,Age on Census Day,Straight or Heterosexual,29.38,27.83,30.92
35 to 44 years,Age on Census Day,LGB+,84.36,71.74,96.98
45 to 54 years,Age on Census Day,Straight or Heterosexual,35.57,33.9,37.25
45 to 54 years,Age on Census Day,LGB+,95.48,79.38,111.58
55 to 64 years,Age on Census Day,Straight or Heterosexual,20.78,19.45,22.1
55 to 64 years,Age on Census Day,LGB+,70.48,54.1,90.18
65 years and over,Age on Census Day,Straight or Heterosexual,12.26,11.29,13.22
65 years and over,Age on Census Day,LGB+,41.79,25.33,64.82
